# szkennelt pontfelho, gomb
-1.0419000 0.6934000 66.6415000
-1.0406000 0.6925000 66.6636000
-1.0394000 0.6917000 66.6606000
-1.0390000 0.6951000 66.6741000
-1.0376000 0.6905000 66.6579000
-1.0371000 0.6976000 66.6812000
-1.0370000 0.6901000 66.6511000
-1.0370000 0.6902000 66.6475000
-1.0368000 0.6900000 66.6547000
-1.0364000 0.7010000 66.6878000
-1.0353000 0.6927000 66.6723000
-1.0342000 0.7073000 66.6976000
-1.0329000 0.6948000 66.6797000
-1.0328000 0.7023000 66.6956000
-1.0323000 0.7021000 66.6923000
-1.0320000 0.6906000 66.6348000
-1.0320000 0.7097000 66.7013000
-1.0317000 0.6902000 66.6705000
-1.0314000 0.6976000 66.6865000
-1.0307000 0.6933000 66.6876000
-1.0295000 0.6888000 66.6680000
-1.0295000 0.7040000 66.6963000
-1.0286000 0.6919000 66.6781000
-1.0282000 0.6881000 66.6403000
-1.0280000 0.6878000 66.6652000
-1.0275000 0.6988000 66.6910000
-1.0275000 0.7066000 66.6998000
-1.0273000 0.6948000 66.6849000
-1.0270000 0.6871000 66.6621000
-1.0269000 0.7102000 66.7027000
-1.0261000 0.6866000 66.6449000
-1.0258000 0.6864000 66.6592000
-1.0257000 0.6900000 66.6760000
-1.0257000 0.7171000 66.7086000
-1.0254000 0.7131000 66.7061000
-1.0250000 0.6858000 66.6560000
-1.0250000 0.6859000 66.6490000
-1.0250000 0.6859000 66.6525000
-1.0250000 0.6897000 66.6303000
-1.0247000 0.7008000 66.6949000
-1.0244000 0.7432000 66.5275000
-1.0243000 0.6928000 66.6828000
-1.0240000 0.6965000 66.6891000
-1.0239000 0.6888000 66.6733000
-1.0239000 0.6928000 66.6228000
-1.0227000 0.7034000 66.6984000
-1.0220000 0.7184000 66.7129000
-1.0216000 0.6873000 66.6709000
-1.0214000 0.6909000 66.6806000
-1.0213000 0.7063000 66.7017000
-1.0212000 0.6795000 66.6762000
-1.0210000 0.6944000 66.6870000
-1.0210000 0.6983000 66.6931000
-1.0208000 0.7213000 66.7127000
-1.0207000 0.6868000 66.6361000
-1.0207000 0.7098000 66.7047000
-1.0206000 0.7058000 66.7089000
-1.0205000 0.7247000 66.7155000
-1.0201000 0.7171000 66.7103000
-1.0200000 0.6862000 66.6681000
-1.0194000 0.7128000 66.7079000
-1.0192000 0.6857000 66.6650000
-1.0189000 0.6892000 66.6783000
-1.0188000 0.7007000 66.6967000
-1.0187000 0.6854000 66.6406000
-1.0187000 0.7270000 66.7156000
-1.0181000 0.6925000 66.6848000
-1.0180000 0.6962000 66.6910000
-1.0179000 0.6848000 66.6622000
-1.0177000 0.6848000 66.6447000
-1.0175000 0.6846000 66.6588000
-1.0173000 0.6844000 66.6484000
-1.0171000 0.6843000 66.6556000
-1.0169000 0.6879000 66.6758000
-1.0168000 0.6841000 66.6522000
-1.0168000 0.7329000 66.7184000
-1.0167000 0.7220000 66.7137000
-1.0166000 0.7031000 66.7004000
-1.0163000 0.6877000 66.6303000
-1.0160000 0.7066000 66.7033000
-1.0156000 0.6910000 66.6226000
-1.0156000 0.7406000 66.5394000
-1.0154000 0.6906000 66.6826000
-1.0153000 0.7099000 66.7063000
-1.0152000 0.6867000 66.6731000
-1.0151000 0.6943000 66.6889000
-1.0150000 0.7172000 66.7118000
-1.0148000 0.6980000 66.6951000
-1.0148000 0.7133000 66.7092000
-1.0147000 0.7278000 66.7166000
-1.0141000 0.7347000 66.7188000
-1.0137000 0.6857000 66.6704000
-1.0137000 0.7011000 66.6982000
-1.0135000 0.7391000 66.5368000
-1.0132000 0.6856000 66.6354000
-1.0132000 0.7231000 66.7145000
-1.0130000 0.7350000 66.5305000
-1.0130000 0.7387000 66.5448000
-1.0128000 0.6889000 66.6804000
-1.0126000 0.7345000 66.5612000
-1.0124000 0.6924000 66.6867000
-1.0123000 0.6848000 66.6675000
-1.0120000 0.6846000 66.6642000
-1.0120000 0.6961000 66.6929000
-1.0119000 0.7037000 66.7017000
-1.0115000 0.6844000 66.6398000
-1.0114000 0.7336000 66.5732000
-1.0113000 0.6841000 66.6610000
-1.0113000 0.7071000 66.7046000
-1.0113000 0.7290000 66.7173000
-1.0112000 0.7335000 66.5658000
-1.0110000 0.6877000 66.6777000
-1.0110000 0.7332000 66.5772000
-1.0110000 0.7333000 66.5584000
-1.0109000 0.7332000 66.5697000
-1.0108000 0.6839000 66.6437000
-1.0108000 0.6991000 66.6961000
-1.0107000 0.7178000 66.7129000
-1.0107000 0.7371000 66.5347000
-1.0106000 0.6837000 66.6579000
-1.0105000 0.6837000 66.6474000
-1.0104000 0.7103000 66.7076000
-1.0104000 0.7359000 66.7197000
-1.0102000 0.6873000 66.6290000
-1.0102000 0.7138000 66.7104000
-1.0101000 0.6834000 66.6546000
-1.0101000 0.6909000 66.6842000
-1.0100000 0.6911000 66.6210000
-1.0099000 0.6833000 66.6512000
-1.0096000 0.6944000 66.6905000
-1.0095000 0.6866000 66.6750000
-1.0094000 0.7020000 66.6994000
-1.0092000 0.7239000 66.7155000
-1.0092000 0.7469000 66.7213000
-1.0088000 0.7309000 66.7177000
-1.0083000 0.6859000 66.6721000
-1.0083000 0.7382000 66.7198000
-1.0078000 0.6893000 66.6819000
-1.0078000 0.7047000 66.7027000
-1.0078000 0.7193000 66.7134000
-1.0076000 0.6855000 66.6339000
-1.0075000 0.6968000 66.6941000
-1.0075000 0.7347000 66.5519000
-1.0074000 0.6929000 66.6881000
-1.0073000 0.6852000 66.6691000
-1.0073000 0.7496000 66.7212000
-1.0072000 0.7345000 66.5330000
-1.0071000 0.7117000 66.7083000
-1.0071000 0.7152000 66.7110000
-1.0070000 0.7079000 66.7057000
-1.0067000 0.7410000 66.7231000
-1.0065000 0.6848000 66.6380000
-1.0062000 0.6845000 66.6661000
-1.0062000 0.6883000 66.6792000
-1.0062000 0.7769000 66.5519000
-1.0061000 0.6997000 66.6974000
-1.0060000 0.6884000 66.6267000
-1.0060000 0.6923000 66.6186000
-1.0060000 0.7252000 66.7162000
-1.0060000 0.7376000 66.5403000
-1.0058000 0.7765000 66.5636000
-1.0056000 0.6842000 66.6420000
-1.0054000 0.6840000 66.6630000
-1.0054000 0.6916000 66.6856000
-1.0053000 0.7211000 66.7138000
-1.0053000 0.7330000 66.5607000
-1.0052000 0.6838000 66.6597000
-1.0052000 0.7329000 66.5757000
-1.0052000 0.7369000 66.5446000
-1.0051000 0.6952000 66.6918000
-1.0051000 0.7328000 66.5646000
-1.0051000 0.7760000 66.5602000
-1.0050000 0.7327000 66.5721000
-1.0049000 0.7326000 66.5796000
-1.0049000 0.7328000 66.5572000
-1.0048000 0.6836000 66.6459000
-1.0047000 0.6873000 66.6764000
-1.0047000 0.7396000 66.7205000
-1.0046000 0.7316000 66.7187000
